ID,type,x,y,z,corrupt
001,102,2575024.361,1178871.295,574.547,F
002,102,2575055.086,1178843.519,574.914,F
005,102,2575311.388,1178815.044,576.086,F
006,102,2575322.275,1178812.702,575.791,F
007,102,2575352.440,1178792.377,575.970,F
008,102,2575367.525,1178784.274,575.822,F
009,102,2575384.571,1178748.350,575.738,F
010,102,2575420.828,1178701.682,576.533,F
011,102,2575427.038,1178683.266,576.984,F
012,102,2575419.193,1178665.903,576.860,F
013,102,2575428.677,1178634.596,576.844,F
015,102,2575399.141,1178568.789,577.124,F
016,102,2575411.945,1178559.538,576.874,T
017,102,2575391.540,1178552.673,576.753,F
018,102,2575385.782,1178569.417,576.848,F
019,102,2575404.740,1178623.263,577.420,F
020,102,2575413.815,1178645.699,577.233,F
021,102,2575420.874,1178646.935,577.344,F
022,102,2575436.754,1178655.900,576.222,F
014,102,2575426.819,1178611.614,576.754,F
024,102,2575410.878,1178681.243,575.982,F
025,102,2575411.671,1178695.433,576.098,F
026,102,2575420.325,1178725.160,575.684,F
027,102,2575395.545,1178722.578,575.826,F
028,102,2575367.064,1178770.287,576.105,F
004,102,2575240.310,1178808.981,575.587,T
