interval;flood_startdate;lod_crit_m;perspective;Ero_validvol_m3;Ero_discvol_m3;Ero_totvol_m3;Ero_lossvol_percent;Ero_validarea_m2;Ero_discarea_m2;Ero_totarea_m2;Ero_validzoneavg_m_per_cell;Depo_validvol_m3;Depo_discvol_m3;Depo_totvol_m3;Depo_lossvol_percent;Depo_validarea_m2;Depo_discarea_m2;Depo_totarea_m2;Depo_validzoneavg_m_per_cell;raster_res_m;reported_date;comment
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"14.10.21 - 7.10.22";"31.05.2022";0.150000000313981;"uav";-191.98144;-155.12048;-347.10192;44.6901820652562;723.04;2312.32;3035.36;-0.265519805266652;29.41312;42.0324800000008;71.4456000000008;58.831446583135;103.68;844.32;948;0.283691358024691;0.4;"2023-06-04-17-20";"narrow breaks, full saturation"
"14.10.21 - 7.10.22";"31.05.2022";0.150000000313981;"uav";-191.98144;-155.12048;-347.10192;44.6901820652562;723.04;2312.32;3035.36;-0.265519805266652;29.41312;42.0324800000008;71.4456000000008;58.831446583135;103.68;844.32;948;0.283691358024691;0.4;"2023-06-04-17-43";"narrow breaks, full saturation"
"14.10.21 - 7.10.22";"31.05.2022";0.150000000313981;"uav";-191.98144;-155.12048;-347.10192;44.6901820652562;723.04;2312.32;3035.36;-0.265519805266652;29.41312;42.0324800000008;71.4456000000008;58.831446583135;103.68;844.32;948;0.283691358024691;0.4;"2023-06-04-18-3";"narrow breaks, full saturation"
"5.11.20 - 14.10.21";"11.07.2021";0.150000000313981;"uav";-136.68304;-31.8457599999999;-168.5288;18.8963310721965;414.08;473.44;887.52;-0.330088485316847;533.65024;53.0971200000001;586.74736;9.04940075060587;1664.64;694.24;2358.88;0.320579969242599;0.4;"2023-06-04-18-17";"narrow breaks, full saturation"
"8.10.20 - 5.11.20";"22.10.2020";0.150000000313981;"uav";-249.75120000005;-22.8032000000051;-272.554400000055;8.36647656394486;857.76;262.24;1120;-0.291166759932906;11.3992000000025;6.30672000000123;17.7059200000037;35.6192731018773;41.92;100.96;142.88;0.27192748091609;0.4;"2023-06-04-18-25";"narrow breaks, full saturation"
"8.10.20 - 7.10.22";"NA";0.150000000313981;"uav";-198.337600000119;-20.7616000000127;-219.099200000131;9.47589037294535;558.88;273.6;832.48;-0.354884053822142;14.4254400000086;11.1120000000064;25.537440000015;43.5125838768485;52.16;174.72;226.88;0.276561349693417;0.4;"2023-06-04-18-37";"narrow breaks, full saturation"
"8.10.20 - 7.10.22";"NA";0.150000000313981;"uav";-198.337600000119;-20.7616000000127;-219.099200000131;9.47589037294535;558.88;273.6;832.48;-0.354884053822142;14.4254400000086;11.1120000000064;25.537440000015;43.5125838768485;52.16;174.72;226.88;0.276561349693417;0.4;"2023-06-04-18-37";"narrow breaks, full saturation";-1.15200000000004;1.71900000000005
"8.10.20 - 5.11.20";"22.10.2020";0.150000000313981;"uav";-249.75120000005;-22.8032000000051;-272.554400000055;8.36647656394486;857.76;262.24;1120;-0.291166759932906;11.3992000000025;6.30672000000123;17.7059200000037;35.6192731018773;41.92;100.96;142.88;0.27192748091609;0.4;"2023-06-04-19-32";"narrow breaks, full saturation";-1.00400000000002;1.65200000000004
"5.11.20 - 14.10.21";"11.07.2021";0.150000000313981;"uav";-136.68304;-31.8457599999999;-168.5288;18.8963310721965;414.08;473.44;887.52;-0.330088485316847;533.65024;53.0971200000001;586.74736;9.04940075060587;1664.64;694.24;2358.88;0.320579969242599;0.4;"2023-06-04-19-35";"narrow breaks, full saturation";-1.93499999999995;1.38999999999999
"14.10.21 - 7.10.22";"31.05.2022";0.150000000313981;"uav";-191.98144;-155.12048;-347.10192;44.6901820652562;723.04;2312.32;3035.36;-0.265519805266652;29.41312;42.0324800000008;71.4456000000008;58.831446583135;103.68;844.32;948;0.283691358024691;0.4;"2023-06-04-19-41";"narrow breaks, full saturation";-1.26199999999994;2.53700000000003
"13.10.21 - 11.10.22";"31.05.2022";0.180000000376777;"tls";-33.3424800000003;-27.3993200000012;-60.7418000000016;45.1078499484713;81.56;424.32;505.88;-0.408809220205987;6.63768;12.1858799999991;18.8235599999991;64.737382301752;19.2;280.04;299.24;0.3457125;0.2;"2023-06-04-20-7";"narrow breaks, full saturation";-2.12800000000004;2.82399999999996
