class;n;vol;area;interval;flood_startdate;lod_crit_m;perspective;raster_res_m;reported_date;comment;class_order
Deposition;326;14.42544;52.16;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-06-04-18-37;narrow breaks, full saturation;
Discarded Deposition;1092;11.112;174.72;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-06-04-18-37;narrow breaks, full saturation;
Discarded Erosion;1710;-20.7616;273.6;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-06-04-18-37;narrow breaks, full saturation;
Erosion;3493;-198.3376;558.88;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-06-04-18-37;narrow breaks, full saturation;
Deposition;262;11.3992;41.92;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-06-04-19-32;narrow breaks, full saturation;
Discarded Deposition;631;6.30672;100.96;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-06-04-19-32;narrow breaks, full saturation;
Discarded Erosion;1639;-22.8032;262.24;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-06-04-19-32;narrow breaks, full saturation;
Erosion;5361;-249.7512;857.76;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-06-04-19-32;narrow breaks, full saturation;
Deposition;10404;533.65024;1664.64;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-06-04-19-35;narrow breaks, full saturation;
Discarded Deposition;4339;53.09712;694.24;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-06-04-19-35;narrow breaks, full saturation;
Discarded Erosion;2959;-31.84576;473.44;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-06-04-19-35;narrow breaks, full saturation;
Erosion;2588;-136.68304;414.08;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-06-04-19-35;narrow breaks, full saturation;
Deposition;648;29.41312;103.68;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-06-04-19-41;narrow breaks, full saturation;
Discarded Deposition;5277;42.03248;844.32;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-06-04-19-41;narrow breaks, full saturation;
Discarded Erosion;14452;-155.12048;2312.32;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-06-04-19-41;narrow breaks, full saturation;
Erosion;4519;-191.98144;723.04;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-06-04-19-41;narrow breaks, full saturation;
Deposition;480;6.63768;19.2;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-06-04-20-7;narrow breaks, full saturation;
Discarded Deposition;7001;12.18588;280.04;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-06-04-20-7;narrow breaks, full saturation;
Discarded Erosion;10608;-27.39932;424.32;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-06-04-20-7;narrow breaks, full saturation;
Erosion;2039;-33.34248;81.56;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-06-04-20-7;narrow breaks, full saturation;
