class;n;vol;area;interval;flood_startdate;lod_crit_m;perspective;raster_res_m;reported_date;comment;class_order
Deposition;4519;191.98144;723.04;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-05-25-8-15;narrow breaks;2
Discarded Deposition;14373;155.12048;2299.68;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-05-25-8-15;narrow breaks;1
Discarded Erosion;5356;-42.03248;856.96;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-05-25-8-15;narrow breaks;3
Erosion;648;-29.41312;103.68;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-05-25-8-15;narrow breaks;4
Total Deposition;18892;347.10192;3022.72;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-05-25-8-15;narrow breaks;5
Total Erosion;6004;-71.4456;960.64;14.10.21 - 7.10.22;31.05.2022;0.15;uav;0.4;2023-05-25-8-15;narrow breaks;6
Deposition;2588;136.68304;414.08;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-05-25-8-54;narrow breaks;2
Discarded Deposition;2941;31.84576;470.56;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-05-25-8-54;narrow breaks;1
Discarded Erosion;4357;-53.09712;697.12;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-05-25-8-54;narrow breaks;3
Erosion;10404;-533.65024;1664.64;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-05-25-8-54;narrow breaks;4
Total Deposition;5529;168.5288;884.64;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-05-25-8-54;narrow breaks;5
Total Erosion;14761;-586.74736;2361.76;5.11.20 - 14.10.21;11.07.2021;0.15;uav;0.4;2023-05-25-8-54;narrow breaks;6
Deposition;5361;249.7512;857.76;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-05-25-9-8;narrow breaks;2
Discarded Deposition;1628;22.8032;260.48;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-05-25-9-8;narrow breaks;1
Discarded Erosion;642;-6.30672;102.72;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-05-25-9-8;narrow breaks;3
Erosion;262;-11.3992;41.92;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-05-25-9-8;narrow breaks;4
Total Deposition;6989;272.5544;1118.24;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-05-25-9-8;narrow breaks;5
Total Erosion;904;-17.70592;144.64;8.10.20 - 5.11.20;22.10.2020;0.15;uav;0.4;2023-05-25-9-8;narrow breaks;6
Deposition;3493;198.3376;558.88;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-05-25-9-30;narrow breaks;2
Discarded Deposition;1695;20.7616;271.2;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-05-25-9-30;narrow breaks;1
Discarded Erosion;1107;-11.112;177.12;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-05-25-9-30;narrow breaks;3
Erosion;326;-14.42544;52.16;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-05-25-9-30;narrow breaks;4
Total Deposition;5188;219.0992;830.08;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-05-25-9-30;narrow breaks;5
Total Erosion;1433;-25.53744;229.28;8.10.20 - 7.10.22;NA;0.15;uav;0.4;2023-05-25-9-30;narrow breaks;6
Deposition;1387;26.2956;55.48;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-05-25-9-47;narrow breaks;2
Discarded Deposition;10630;25.41436;425.2;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-05-25-9-47;narrow breaks;1
Discarded Erosion;8467;-15.6786;338.68;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-05-25-9-47;narrow breaks;3
Erosion;582;-7.2162;23.28;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-05-25-9-47;narrow breaks;4
Total Deposition;12017;51.70996;480.68;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-05-25-9-47;narrow breaks;5
Total Erosion;9049;-22.8948;361.96;13.10.21 - 11.10.22;31.05.2022;0.18;tls;0.2;2023-05-25-9-47;narrow breaks;6
